id;code;date;details;status;payment_method;payment_date;payment_amount
1;notwithstanding;2024-07-24T17:32:34;appetizer whoever till;CANCELLED;PAYPAL;2024-07-24T18:45:47;9093.04
2;pupil;2024-07-24T00:31:53;reuse droopy police;ISSUED;PAYPAL;2024-07-24T00:40:48;112.55
3;unlike gator;2024-07-24T16:57:31;enfranchise;ISSUED;PAYPAL;2024-07-24T03:21:59;30370.2
4;eyeliner gently;2024-07-24T09:30:46;cloak;CANCELLED;PAYPAL;2024-07-24T03:15:51;4830.26
5;populist contextualize;2024-07-24T08:54:35;hourly wetly;ISSUED;PAYPAL;2024-07-24T13:42:09;9009.78
6;unfortunately indeed though;2024-07-24T01:36:17;oof impressive;ISSUED;CASH_ON_DELIVERY;2024-07-24T13:55:03;23509.59
7;minus ketch yieldingly;2024-07-24T03:09:02;continually which;PAID;PAYPAL;2024-07-24T09:00:56;24573.18
8;including whoa hastily;2024-07-23T21:52:55;whoever;PAID;CASH_ON_DELIVERY;2024-07-24T14:40:36;18612.73
9;wow boo;2024-07-24T12:18:18;corridor;PAID;CASH_ON_DELIVERY;2024-07-24T19:32:05;5617.92
10;vision;2024-07-24T09:29:35;what birth gosh;ISSUED;CASH_ON_DELIVERY;2024-07-24T15:34:26;20623.81
