id;tracking_code;date;details;invoice_id
1;overconfidently;2024-07-24T03:52:47;dehumanise because;1
2;subdued bah;2024-07-24T04:45:10;where soup;2
3;bitter lipid;2024-07-23T22:45:26;from;3
4;hm yahoo;2024-07-24T10:30:17;whenever drat excepting;4
5;excitedly;2024-07-23T22:24:52;afterwards notwithstanding supposing;5
6;reluctantly;2024-07-24T09:32:51;commonly airfare;6
7;adorable terrific synthesis;2024-07-24T01:04:22;pheromone;7
8;oof precious;2024-07-24T06:25:05;interface;8
9;considering;2024-07-23T21:00:03;ugh knowingly;9
10;yellow excepting;2024-07-24T14:16:38;battleship under spat;10
