id;placed_date;status;code;invoice_id;customer
1;2024-07-24T12:12:30;COMPLETED;ill-informed;10075;rehash rare sweltering
2;2024-07-24T10:52:09;CANCELLED;since failing;3753;meanwhile red queasily
3;2024-07-24T03:39:59;COMPLETED;afore;11738;bleakly inject
4;2024-07-24T05:23:10;CANCELLED;ack healthy;32353;liberalise
5;2024-07-24T12:54:48;CANCELLED;indolent concerned step-aunt;23346;grotesque burden hmph
6;2024-07-24T05:42:49;CANCELLED;whose command;14202;ack
7;2024-07-24T06:59:44;PENDING;hate abnormally excellence;9214;ew yippee
8;2024-07-24T07:41:09;CANCELLED;greedily uh-huh upward;15800;although gracefully hot
9;2024-07-24T12:05:48;COMPLETED;blanket even unless;23606;safe
10;2024-07-24T14:56:17;COMPLETED;ensconce pro;10845;savage wholly
